epoch,loss_avg,loss_test,acc_test,best_acc
0.0,1.752482440749804,1.7000401996612549,76.06,76.06
1.0,1.808973492940267,1.7937015953063964,66.74,76.06
2.0,1.8775553657213848,1.9380901313781738,52.3,76.06
3.0,1.8790050896008808,1.8756705711364745,58.55,76.06
4.0,1.903467697620392,2.153613533782959,30.75,76.06
5.0,2.147642498135567,2.058327690887451,40.28,76.06
6.0,2.0552932249704994,2.1316434257507324,32.95,76.06
7.0,2.042872310400009,2.026778589630127,43.44,76.06
8.0,2.1276149509747824,2.236330944061279,22.48,76.06
9.0,2.3070156233708063,2.347650884246826,11.35,76.06
10.0,2.3498170097668964,2.347650884246826,11.35,76.06
11.0,2.3498170106808347,2.347650884246826,11.35,76.06
