epoch,loss_avg,loss_test,acc_test,best_acc
0.0,1.7404543266693753,1.7181301185607911,74.29,74.29
1.0,1.7718440947135288,1.8940682695388793,56.65,74.29
2.0,1.878846533735593,1.9750409858703613,48.6,74.29
3.0,1.9048851776123048,1.814778624725342,64.64,74.29
4.0,1.8698311578432718,1.8879990577697754,57.31,74.29
5.0,1.967417423327764,1.9953383644104004,46.58,74.29
6.0,2.002310906449954,2.0547950263977053,40.63,74.29
7.0,2.179061929066976,2.223850789642334,23.73,74.29
8.0,2.1830489496390024,2.1074461112976075,35.37,74.29
9.0,2.1149246620734536,2.0912508781433106,36.99,74.29
10.0,2.1860495884418487,2.3310353782653808,13.01,74.29
11.0,2.353516943494479,2.3574492301940917,10.37,74.29
12.0,2.3548170116345086,2.3574492301940917,10.37,74.29
