epoch,loss_avg,loss_test,acc_test,best_acc
0.0,1.5888127234022495,2.2655942749023437,19.3,19.3
1.0,1.4674082719673545,2.266935665130615,19.28,19.3
2.0,1.4629408521167302,2.2664435245513914,19.28,19.3
3.0,1.4611731933335126,2.2665669246673583,19.28,19.3
4.0,1.4611649072776407,2.2666405349731447,19.28,19.3
5.0,1.6546744017373947,2.1993085083007813,26.05,26.05
6.0,1.644183928625924,2.2122193962097167,24.94,26.05
7.0,1.4723870735319835,2.2058903064727784,25.4,26.05
8.0,1.4611614215171944,2.266690235900879,19.28,26.05
9.0,1.470620271310968,2.235965742111206,22.56,26.05
10.0,1.4703432113405257,2.2153441139221193,24.6,26.05
11.0,1.4675171011970156,2.2010330932617186,26.0,26.05
12.0,1.6738735225465564,2.182324047088623,27.56,27.56
