epoch,loss_avg,loss_test,acc_test,best_acc
61.0,1.6022528626918793,1.6150906286239624,84.75,84.81
62.0,1.6021233813762665,1.6148371047973633,84.76,84.81
63.0,1.6019708925088247,1.6146036401748658,84.87,84.87
64.0,1.6018219077587128,1.6150824592590332,84.78,84.87
65.0,1.601803856054942,1.6145506944656371,84.84,84.87
66.0,1.601608430067698,1.6142659950256348,84.82,84.87
67.0,1.6015970052878061,1.6143268014907837,84.8,84.87
68.0,1.6013956147034962,1.614759697532654,84.79,84.87
69.0,1.601370083808899,1.6141759922027588,84.81,84.87
70.0,1.6012761011123655,1.6145199018478393,84.79,84.87
71.0,1.601244593858719,1.6142798080444336,84.88,84.88
72.0,1.601128213405609,1.6143594549179077,84.84,84.88
73.0,1.6010510749022167,1.614267424583435,84.84,84.88
74.0,1.6009918467203776,1.6142511365890504,84.83,84.88
75.0,1.6008732572396596,1.6143872764587401,84.81,84.88
76.0,1.6008495530287425,1.6143191682815552,84.81,84.88
77.0,1.6007964033285775,1.6141590955734253,84.84,84.88
78.0,1.6007609392007192,1.614094211769104,84.83,84.88
79.0,1.600701026360194,1.614312957572937,84.79,84.88
80.0,1.6006541188557943,1.614112753868103,84.87,84.88
81.0,1.600582305908203,1.6141223634719848,84.88,84.88
82.0,1.600565644343694,1.6141708658218383,84.88,84.88
83.0,1.6005061364968618,1.6140104225158691,84.89,84.89
84.0,1.6004877549012502,1.614063669204712,84.93,84.93
85.0,1.6004690561294557,1.6140527938842772,84.9,84.93
86.0,1.6004110621611276,1.6140594596862794,84.93,84.93
87.0,1.600380958954493,1.6139670831680297,84.9,84.93
88.0,1.6003498860994974,1.6139982479095458,84.91,84.93
89.0,1.6003299888769784,1.6140247129440308,84.88,84.93
90.0,1.600295321146647,1.6139674299240112,84.93,84.93
91.0,1.6002672498226165,1.613921755218506,84.92,84.93
92.0,1.6002463808854421,1.6139916273117065,84.9,84.93
93.0,1.6002126831213634,1.6139139453887938,84.93,84.93
94.0,1.6001929517587026,1.6138980529785156,84.93,84.93
95.0,1.600173208475113,1.6139294301986695,84.9,84.93
96.0,1.6001537686189016,1.6139121994018555,84.91,84.93
97.0,1.6001387559572855,1.6139224325180053,84.91,84.93
98.0,1.600121895313263,1.6138776329040527,84.93,84.93
99.0,1.6001008338928222,1.6139012855529786,84.9,84.93
100.0,1.6000861994425457,1.613925266647339,84.91,84.93
101.0,1.6000659409364064,1.6138749031066895,84.9,84.93
